0|The Dark Knight|2012|Christopher Nolan|Action|true|7.6
1|Happy Gilmore|2001|Adam Sandler|Comedy|true|9.3
2|The Matrix|1999|Lana Wachowski, Lilly Wachowski|Action, Sci-Fi|true|10.0
3|Blade Runner|1982|Ridley Scott|Fantasy, Sci-fi|true|10.0
4|The Godfather|1972|Francis Ford Coppola|Crime, Drama|false|0.0
5|Schindler's List|1993|Steven Spielberg|Biography, Drama, History|true|8.6
6|Casablanca|1942|Michael Curtiz|Drama, Romance, War|false|0.0
7|Citizen Kane|1941|Orson Welles|Drama, Mystery|false|4.5
8|Gone with the Wind|1939|Victor Fleming, George Cukor, Sam Wood|Drama, History, Romance|false|7.7
9|The Wizard of Oz|1939|Victor Fleming, George Cukor, Mervyn LeRoy, Norman Taurog, King Vidor|Adventure, Family, Fantasy|true|4.3
10|One Flew Over the Cuckoo's Nest|1975|Milos Forman|Drama|true|9.0
11|Lawrence of Arabia|1962|David Lean|Adventure, Biography, Drama|true|4.3
12|The Godfather: Part II|1974|Francis Ford Coppola|Crime, Drama|false|0.0
13|Forrest Gump|1994|Robert Zemeckis|Drama, Romance|true|9.0
14|2001: A Space Odyssey|1968|Stanley Kubrick|Adventure, Sci-fi|true|10.0
15|The Silence of the Lambs|1991|Jonathan Demme|Crime, Drama, Thriller|true|8.0
16|Gladiator|2000|Ridley Scott|Action, Adventure, Drama|true|10.0
17|Titanic|1997|James Cameron|Drama, Romance|true|8.0
18|Saving Private Ryan|1998|Steven Spielberg|Drama, War|true|8.0
19|Raiders of the Lost Ark|1981|Steven Spielberg|Action, Adventure|true|7.4
20|Rocky|1976|John G. Avildsen|Drama, Sport|true|8.0
21|To Kill a Mockingbird|1962|Robert Mulligan|Crime, Drama|true|8.0
22|Deadpool 2|2018|David Leitch|Fantasy, Sci-Fi|false|0.0
23|Prometheus|2012|Ridley Scott|Horror, Sci-fi|true|7.4
24|Miami Vice|2006|Michael Mann|Action, Drama|true|7.6
25|Heat|1995|Michael Mann|Action, Drama|true|8.7
26|Layer Cake|2004|Matthew Vaughn|Drama, Crime, Thriller|true|8.1
27|Snatch|2000|Guy Ritchie|Thriller, Drama, Crime|true|8.6
28|John Wick|2014|Chad Stahelski, David Leitch|Action, Crime, Thriller|true|9.6
29|John Wick: Chapter 2|2017| Chad Stahelski |Action, Crime, Thriller|true|9.4
30|Donnie Darko|2001|Richard Kelly|Drama, Sci-Fi, Thriller|true|7.3
31|Starship Trooper|1997|Paul Verhoeven|Action, Adventure, Sci-Fi|true|9.3
32|The Fifth Element|1997|Luc Besson|Action, Adventure, Sci-Fi|true|8.5
33|Battle Royale|2000|Kinji Fukasaku |Adventure, Drama, Sci-Fi|true|8.7
